Word,Decade_Start,Decade_End,JSD
coffee,1840,1850,0.4737
coffee,1850,1860,0.4878
coffee,1860,1870,0.5724
coffee,1870,1880,0.5438
coffee,1880,1890,0.5391
coffee,1890,1900,0.4931
coffee,1900,1910,0.5352
tea,1840,1850,0.4586
tea,1850,1860,0.5094tea,1860,1870,0.5188389846146703
tea,1870,1880,0.4288551662438228
tea,1860,1870,0.5188389846146703
tea,1880,1890,0.4316672782922164
tea,1890,1900,0.3924419530175558
tea,1900,1910,0.3480896785210811
sugar,1840,1850,0.5270685969122022
sugar,1850,1860,0.5287813704370538
sugar,1860,1870,0.5462133053795015
sugar,1870,1880,0.529509024301315
sugar,1880,1890,0.5061621754133885
sugar,1890,1900,0.4417193740164205
sugar,1900,1910,0.4410748692655873
opium,1840,1850,0.44101373827951423
opium,1850,1860,0.5090941876672761
opium,1860,1870,0.5188690520297488
opium,1870,1880,0.4405139891692677
opium,1880,1890,0.4121541303631527
opium,1890,1900,0.41214724996863217
opium,1900,1910,0.42397155295794686
cocoa,1840,1850,0.5676566082016565
cocoa,1850,1860,0.610214115539614
cocoa,1860,1870,0.5759373051451502
cocoa,1870,1880,0.5522598176550695
cocoa,1880,1890,0.6067599985648149
cocoa,1890,1900,0.5814321428386406
cocoa,1900,1910,0.6371135719028638
tobacco,1840,1850,0.4823137207028417
tobacco,1850,1860,0.5276542523319627
tobacco,1860,1870,0.566924454606089
tobacco,1870,1880,0.5030201947822585
tobacco,1880,1890,0.44908022727148683
tobacco,1890,1900,0.4793529660980093
tobacco,1900,1910,0.4650746285171414
