word,variant_used,decade,vocab_rank,total_vocab,rank_percentile
coffee,coffee,1800s,6335,68374,9.27
tea,tea,1800s,59656,68374,87.25
sugar,sugar,1800s,21400,68374,31.3
opium,opium,1800s,26,68374,0.04
cocoa,cocoa,1800s,18305,68374,26.77
tobacco,tobacco,1800s,16351,68374,23.91
coffee,coffee,1810s,29761,66444,44.79
tea,tea,1810s,30798,66444,46.35
sugar,sugar,1810s,61884,66444,93.14
opium,opium,1810s,53453,66444,80.45
cocoa,cocoa,1810s,27871,66444,41.95
tobacco,tobacco,1810s,27169,66444,40.89
coffee,coffee,1820s,50991,65458,77.9
tea,tea,1820s,44834,65458,68.49
sugar,sugar,1820s,20486,65458,31.3
opium,opium,1820s,249,65458,0.38
cocoa,cocoa,1820s,59612,65458,91.07
tobacco,tobacco,1820s,12803,65458,19.56
coffee,coffee,1830s,1509,48056,3.14
tea,tea,1830s,35553,48056,73.98
sugar,sugar,1830s,1673,48056,3.48
opium,opium,1830s,23936,48056,49.81
cocoa,cocoa,1830s,28077,48056,58.43
tobacco,tobacco,1830s,16066,48056,33.43
coffee,coffee,1840s,24723,48054,51.45
tea,tea,1840s,21689,48054,45.13
sugar,sugar,1840s,11963,48054,24.89
opium,opium,1840s,17592,48054,36.61
cocoa,cocoa,1840s,26629,48054,55.41
tobacco,tobacco,1840s,25360,48054,52.77
coffee,coffee,1850s,31802,48054,66.18
tea,tea,1850s,31747,48054,66.07
sugar,sugar,1850s,21178,48054,44.07
opium,opium,1850s,42977,48054,89.43
cocoa,cocoa,1850s,5591,48054,11.63
tobacco,tobacco,1850s,23537,48054,48.98
coffee,coffee,1860s,12029,48054,25.03
tea,tea,1860s,5420,48054,11.28
sugar,sugar,1860s,17207,48054,35.81
opium,opium,1860s,38789,48054,80.72
cocoa,cocoa,1860s,40009,48054,83.26
tobacco,tobacco,1860s,38502,48054,80.12
coffee,coffee,1870s,6690,48044,13.92
tea,tea,1870s,3991,48044,8.31
sugar,sugar,1870s,7146,48044,14.87
opium,opium,1870s,9863,48044,20.53
cocoa,cocoa,1870s,36707,48044,76.4
tobacco,tobacco,1870s,31277,48044,65.1
coffee,coffee,1880s,21065,48038,43.85
tea,tea,1880s,18115,48038,37.71
sugar,sugar,1880s,10669,48038,22.21
opium,opium,1880s,36034,48038,75.01
cocoa,cocoa,1880s,1332,48038,2.77
tobacco,tobacco,1880s,28881,48038,60.12
coffee,coffee,1890s,24400,48030,50.8
tea,tea,1890s,2674,48030,5.57
sugar,sugar,1890s,25618,48030,53.34
opium,opium,1890s,28824,48030,60.01
cocoa,cocoa,1890s,42343,48030,88.16
tobacco,tobacco,1890s,33247,48030,69.22
coffee,coffee,1900s,43678,47993,91.01
tea,tea,1900s,9936,47993,20.7
sugar,sugar,1900s,23337,47993,48.63
opium,opium,1900s,30123,47993,62.77
cocoa,cocoa,1900s,7934,47993,16.53
tobacco,tobacco,1900s,24967,47993,52.02
coffee,coffee,1910s,60217,78879,76.34
tea,tea,1910s,3790,78879,4.8
sugar,sugar,1910s,15903,78879,20.16
opium,opium,1910s,25499,78879,32.33
cocoa,cocoa,1910s,4442,78879,5.63
tobacco,tobacco,1910s,30860,78879,39.12
